Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,0.2376100185
spotify:track:1qDMlFBTEfpu9rO8j0mzq9,Lucky Girl,spotify:artist:2awB7Ol181cocZcLLNBBAh,Fazerdaze,spotify:album:3k8tMpRQseuKMu6ieN8MBi,Morningside,spotify:artist:2awB7Ol181cocZcLLNBBAh,Fazerdaze,2017-05-05,https://i.scdn.co/image/ab67616d0000b273e2a46d54800a72ac33963ffe,1,2,170996,https://p.scdn.co/mp3-preview/c8a5fdce947c2fa8d1371a9c8f045e0fc57b66df?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,43,NZFN01600156,,2022-06-24T03:43:41Z,"dreamo,nz indie",0.515,0.884,9,-7.297,1,0.043,0.0331,0.0904,0.312,0.703,173.012,4,,Flying Nun Records,C (C) 2017 Flying Nun Records,
spotify:track:4dcXbB7MFoWiqBlDMZDZdv,Shadows,"spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz, spotify:artist:7FxMjqH6DH056sdsstGeVl","Future Islands, Debbie Harry",spotify:album:5fhDKNsP4aDsSLjd4JLXrz,The Far Field,spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz,Future Islands,2017-04-07,https://i.scdn.co/image/ab67616d0000b273d93657a99696694f0aa2ddd9,1,11,245146,,FALSE,0,GBAFL1600405,,2017-04-17T17:59:56Z,"alternative dance,art pop,baltimore indie,chamber pop,indie rock,indietronica,neo-synthpop,shimmer pop,new wave pop",0.577,0.742,4,-10.144,1,0.0308,0.000612,0.00113,0.134,0.695,139.96,4,,4AD,"C 2017 4AD Ltd, P 2017 4AD Ltd",
spotify:track:5TO7BprYybGfK0gvcqMd9G,Time On Her Side,spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz,Future Islands,spotify:album:5fhDKNsP4aDsSLjd4JLXrz,The Far Field,spotify:artist:1WvvwcQx0tj6NdDhZZ2zZz,Future Islands,2017-04-07,https://i.scdn.co/image/ab67616d0000b273d93657a99696694f0aa2ddd9,1,2,218506,,FALSE,0,GBAFL1600400,,2017-04-17T18:00:00Z,"alternative dance,art pop,baltimore indie,chamber pop,indie rock,indietronica,neo-synthpop,shimmer pop",0.659,0.82,10,-6.715,1,0.0321,0.00136,0.0738,0.112,0.68,139.961,4,,4AD,"C 2017 4AD Ltd, P 2017 4AD Ltd",
spotify:track:7GOcsuWpFlzV9dS7MFIhKU,Shotgun,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,spotify:album:25Z3GFmKx6ntosMpCSngnI,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,2017-03-17,https://i.scdn.co/image/ab67616d0000b273fb7263efd4dcbbdd162781bd,1,9,218493,,FALSE,0,USMTD1609121,,2017-05-29T15:28:25Z,"alternative rock,austindie,indie rock,modern rock",0.77,0.85,9,-6.01,0,0.0554,0.296,0.013,0.14,0.831,130.838,4,,Matador,"C 2017 Matador Records Limited, P 2017 Matador Records Limited",
spotify:track:70x1x9NbSJJXkrgvIyyAVX,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,spotify:album:25Z3GFmKx6ntosMpCSngnI,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,2017-03-17,https://i.scdn.co/image/ab67616d0000b273fb7263efd4dcbbdd162781bd,1,1,228653,,FALSE,0,USMTD1609113,,2017-05-29T15:28:25Z,"alternative rock,austindie,indie rock,modern rock",0.679,0.902,8,-3.627,1,0.0303,0.0484,0.155,0.645,0.493,108.995,4,,Matador,"C 2017 Matador Records Limited, P 2017 Matador Records Limited",
spotify:track:2DncVCuvsWRueBrgkjMuHI,I Ain't the One,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,spotify:album:25Z3GFmKx6ntosMpCSngnI,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,2017-03-17,https://i.scdn.co/image/ab67616d0000b273fb7263efd4dcbbdd162781bd,1,7,228106,,FALSE,0,USMTD1609119,,2017-05-29T15:28:25Z,"alternative rock,austindie,indie rock,modern rock",0.615,0.839,10,-7.555,0,0.0631,0.775,0.544,0.138,0.329,129.545,4,,Matador,"C 2017 Matador Records Limited, P 2017 Matador Records Limited",
spotify:track:5vSekidwmZF63TXK7t4Yv5,My Emotions Are Blinding,spotify:artist:1ybAN3utgdoUL1MUCtH4QM,Tennis,spotify:album:2ZV63aOqkSh0l49vmvjLOn,Yours Conditionally,spotify:artist:1ybAN3utgdoUL1MUCtH4QM,Tennis,2017-03-10,https://i.scdn.co/image/ab67616d0000b2739eabb48276303ac988847bf6,1,2,221800,https://p.scdn.co/mp3-preview/1461c54c35758e3bea4c9ab34630cb70b9901f0d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,32,QZ5TF1600002,,2017-03-12T15:21:11Z,"art pop,chamber pop,chillwave,denver indie,indie pop,indie rock,indie surf,shimmer pop",0.732,0.856,0,-4.293,0,0.035,0.0216,0,0.106,0.712,95.011,4,,Mutually Detrimental,"C (C) 2017 Mutually Detrimental, P (P) 2016 Mutually Detrimental",
spotify:track:5eoUy0mYMk671DTiatKsha,Mrs. Adams,spotify:artist:55LHFEtIplWhsfyWZUwkf4,Foxygen,spotify:album:2gLCtAv2b62c5pvgxQhjjM,Hang,spotify:artist:55LHFEtIplWhsfyWZUwkf4,Foxygen,2017-01-20,https://i.scdn.co/image/ab67616d0000b273969b2919c916dde37757c851,1,3,269400,,FALSE,0,US38Y1730103,,2017-01-21T21:49:27Z,"baroque pop,chamber pop,experimental pop,indie rock,indietronica,neo-psychedelic,noise pop",0.331,0.723,0,-7.015,1,0.0634,0.119,0.000408,0.0471,0.659,162.018,4,,Jagjaguwar,"C 2017 Jagjaguwar, P 2017 Jagjaguwar",
spotify:track:2FMvTIIIVIS70zsLWOSwOT,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,spotify:album:4CaywuuM2GyAz4o2u983QT,Hot Thoughts,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon,2017-01-17,https://i.scdn.co/image/ab67616d0000b27362fcd0bacc5b0c2953667a40,1,1,228653,,FALSE,0,USMTD1609113,,2017-01-17T21:07:21Z,"alternative rock,austindie,indie rock,modern rock",0.68,0.9,8,-3.629,1,0.0303,0.0463,0.149,0.645,0.489,108.986,4,,Matador,"C 2016 Matador Records Limited, P 2016 Matador Records Limited",
spotify:track:2mjgOsjW2ynwXbq34K95W0,Dead Alive,spotify:artist:4LG4Bs1Gadht7TCrMytQUO,The Shins,spotify:album:7flKa2f5Eb5V4ijBXwOjRQ,Dead Alive,spotify:artist:4LG4Bs1Gadht7TCrMytQUO,The Shins,2016-10-26,https://i.scdn.co/image/ab67616d0000b273773a274a3a1e6180f9d99e70,1,1,216026,https://p.scdn.co/mp3-preview/b2eee3d1d1c12626d331da84385881db5cfe39d0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,23,USSM11607309,,2017-01-23T22:49:16Z,"albuquerque indie,alternative rock,canadian indie,chamber pop,indie pop,indie rock,modern rock,portland indie,stomp and holler",0.59,0.755,4,-8.004,0,0.034,0.0579,0.000107,0.184,0.891,119.982,4,,Aural Apothecary/Columbia,"P (P) 2016 Columbia Records, a Division of Sony Music Entertainment",
